nama_usaha,alamat,penanggung_jawab,badan_usaha,nomor_telepon,nomor_faximili,jenis_hotel,masa_berlaku
GRAN MAHAKAM,Jl. Mahakam I No. 6 RT. 001/07  ,Imam Wahyu ,PT. Mahakam Ekagraha,021 7252011,021 7209966,H Bintang 2,28-05-15
FAVE HOTEL LTC GLODOK,Gd. LTC Glodok Jl. Hayam Wuruk No. 127   ,Siaw Tjen Rustanto,PT. Sukses Gemilang Nusantara,021 6592449,021 6287889,H Bintang 2,31-05-15
RAFFLES, Ciputra World 1 Jl. Prof. Dr. Satrio Kav. 3-5  ,Ir. Artadinata Djangkar ,PT. Ciputra Adigraha,021 29888181,021 29888080,H Bintang 2,10-06-15
PENINSULA HOTEL,Jl. Mangga Besar Raya No. 60 P ,Gunawan Latief ,T. Peninsula Karya Jaya,021 6593749,021 3518127,H Bintang 2,16-06-15
WIJAYA GANGNAM,Komp. Wijaya Graha Puri Blok F No. 20 Jl. Wijaya ,Vransiy Munita ,PT. Ysj Maju Global ,021 108 ,021 108 ,H Bintang 2,16-06-15
CLASSIC,Jl. H. Samanhudi No. 43-45 ,Rudy Susanto ,PT. Buana Mitra Usaha ,021 3852001,021 6260368,H Bintang 2,17-06-15
PULAU AYER,Pulau Air Besar ,Rudy Susanto ,PT. Global Ekabuana ,021 108 ,021 108 ,H Bintang 2,
FM.1 BOUTIQUE,Jl. Let. Jend S. Parman Raya Kav. 8,Samsudin,PT. Seriatama Slipi Indah,021 5633333,021 5633580,H Bintang 2,17-06-15
MERCURE HOTEL,Jl. RA. Kartini/Jl. TB. Simatupang,Abby Ernest,PT. Karya Propertindo Investama,021 75915262,021 75918270,H Bintang 2,18-06-15
TRAVEL,Jl. Mangga Besar VIII No. 21,Foronkid Gunawan,PT. Seriatama Indoreka,021 6212721,021 6293810,H Bintang 2,18-06-15
ORCHARDZ P. JAYAKARTA,Jl. P. Jayakarta Blok 44/7-8,Juanda,PT. Gaya Wahana Inti,021 6287888,021 6289558,H Bintang 2,20-06-15
OTEL SENTRAL,Jl. Pramuka Raya Kav. 63-64,R. Imba Kusumah,PT. Prajasarana Ciptamulia,021 4225511,021 4213839,H Bintang 2,20-06-15
O R C H A R D Z,Jl. Industri Raya No. 8,Drs. Sugiarto Hardjo,PT. Kapuas Cemerlang Maju,021 62317788,021 62317788,H Bintang 2,20-06-15
HOTEL PULLMAN JAKARTA CENTRAL PARK,Podomoro City Jl. Letjen S. Parman Kav. 28,Veriyanto Setiady,PT. Central Pesona Palace,021 56988888,021 56985070,H Bintang 2,21-06-15
MTR 2,Jl. Boulevard Bukit Gading Raya 18,Denny Herawan Susanto,,021 4533621,021 108,H Bintang 2,24-06-15
ALL SEASONS THAMRIN HOTEL,Jl. Talang Betutu No. 02 / Jl. Tanjung Karang No. 0,Otto Putihrai,PT. Setia Meranti,021 108,021 108,H Bintang 2,24-06-15
FORTUNE,Jl. KH. Mas Mansyur No. 13,Yogi Idham Fauzi,PT. Comfort Nusantara,021 56960598,021 56960598,H Bintang 2,25-06-15
JAYAKARTA HOTEL,Jl. Hayam Wuruk No. 126,Kristian Pudjiadi,PT. Pudjiadi and Sons Tbk,021 6496760,021 6293000,H Bintang 2,28-06-15
